Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
gobelets réutilisables personnalisés,21,21,720,61.21,0.73,https://wobz.fr/,0,0,0.00,1,58100,"[59,72,88,100,100,88,72,72,39,48,39,88]",1584180132,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
gobelets com,38,38,110,50.18,0.85,https://wobz.fr/gobelets-pre-personnalises,0,0,0.00,0.63,6140000,"[43,33,67,67,100,67,67,67,33,24,33,14]",1582406812,"Image pack, Site links, Reviews"
verre mojito,31,0,1300,85.55,0.17,https://wobz.fr/mojito-personnalises,0,0,0.00,1,955000,"[25,25,37,54,79,100,100,54,37,54,67,37]",1584615574,"Image pack, Reviews, Image"
timbale personnalisable,32,32,90,65.83,0.41,https://wobz.fr/gobelet-personnalise-noces-d-or-50-ans.html,0,0,0.00,1,61900,"[9,9,9,9,9,9,9,9,36,27,9,100]",1583836156,"Image pack, Site links, Reviews"
verre a vin gradué 12 cl,21,21,50,63.19,0.36,https://wobz.fr/gobelets-personnalises/gobelet-personnalise-jaune-25cl-qualite-photo.html,0,0,0.00,1,29,"[44,56,78,56,78,44,33,33,78,56,100,56]",1583060247,"Image pack, Reviews, AdWords top, AdWords bottom, Shopping ads"
customiser des verres,21,21,50,72.09,0.00,https://wobz.fr/verres-personnalises-plastique,0,0,0.00,0.61,303000,"[25,25,25,50,25,75,75,25,100,25,25,25]",1582352384,"Image pack, Reviews, Video, Featured snippet, Video Carousel"
just design shop avis,79,79,50,86.59,0.00,https://wobz.fr/gobelet-personnalise-mariage-just-married.html,0,0,0.00,0.06,22000000,"[0,43,14,43,14,14,57,14,14,14,14,100]",1583839306,Reviews
gobelet réutilisable 33cl,23,23,590,63.48,0.70,https://wobz.fr/gobelet-personnalise-33cl-qualite-photo-impression-7cm.html,0,0,0.00,1,85,"[36,67,67,82,100,67,55,55,55,44,36,67]",1584244841,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
verre personnalisé mariage,16,16,320,65.23,0.39,https://wobz.fr/gobelet-personnalise-mariage-car.html,0,0,0.00,1,14000000,"[36,44,29,54,81,81,100,66,81,54,44,24]",1584100856,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
gobelet plastique cocktail,45,45,90,69.8,0.00,https://wobz.fr/verres-personnalises-en-tritan/verres-a-cocktail-personnalises-en-plastique.html,0,0,0.00,1,323000,"[33,44,56,11,11,11,100,11,11,11,11,22]",1582623185,"Image pack, Reviews, AdWords bottom, Shopping ads, Video Carousel"
